date,store_id,sku_id,units_sold,unit_price,promotion,temperature,precipitation,is_holiday_like
2025-01-01,TOKYO_01,SKU_HT_001,64,1290,0,9.3,0.0,0
2025-01-02,TOKYO_01,SKU_HT_001,36,1290,0,5.8,0.9,0
2025-01-03,TOKYO_01,SKU_HT_001,58,1290,0,11.8,2.1,0
2025-01-04,TOKYO_01,SKU_HT_001,69,1290,0,7.1,0.0,1
2025-01-05,TOKYO_01,SKU_HT_001,80,1290,0,8.9,0.0,1
2025-01-06,TOKYO_01,SKU_HT_001,57,1290,0,10.2,0.0,0
2025-01-07,TOKYO_01,SKU_HT_001,61,1290,0,6.5,0.0,0
2025-01-08,TOKYO_01,SKU_HT_001,60,1290,0,7.2,1.6,0
2025-01-09,TOKYO_01,SKU_HT_001,95,1290,1,7.4,0.4,0
2025-01-10,TOKYO_01,SKU_HT_001,55,1290,0,7.3,2.7,0
2025-01-11,TOKYO_01,SKU_HT_001,84,1290,0,7.4,6.5,1
2025-01-12,TOKYO_01,SKU_HT_001,64,1290,0,7.6,0.2,1
2025-01-13,TOKYO_01,SKU_HT_001,62,1290,0,10.7,0.0,0
2025-01-14,TOKYO_01,SKU_HT_001,50,1290,1,15.0,3.5,0
2025-01-15,TOKYO_01,SKU_HT_001,78,1290,0,10.6,0.6,0
2025-01-16,TOKYO_01,SKU_HT_001,51,1290,0,6.9,0.0,0
2025-01-17,TOKYO_01,SKU_HT_001,63,1290,0,8.1,3.0,0
2025-01-18,TOKYO_01,SKU_HT_001,68,1290,0,6.8,0.5,1
2025-01-19,TOKYO_01,SKU_HT_001,59,1290,0,7.8,1.6,1
2025-01-20,TOKYO_01,SKU_HT_001,64,1290,0,10.7,2.5,0
2025-01-21,TOKYO_01,SKU_HT_001,44,1290,0,7.7,0.0,0
2025-01-22,TOKYO_01,SKU_HT_001,50,1290,0,6.3,3.2,0
2025-01-23,TOKYO_01,SKU_HT_001,58,1290,0,7.3,0.0,0
2025-01-24,TOKYO_01,SKU_HT_001,65,1290,0,11.6,0.8,0
2025-01-25,TOKYO_01,SKU_HT_001,77,1290,0,10.7,0.0,1
2025-01-26,TOKYO_01,SKU_HT_001,60,1290,1,13.3,0.9,1
2025-01-27,TOKYO_01,SKU_HT_001,42,1290,0,4.3,2.3,0
2025-01-28,TOKYO_01,SKU_HT_001,52,1290,0,7.1,3.0,0
2025-01-29,TOKYO_01,SKU_HT_001,54,1290,0,9.8,1.0,0
2025-01-30,TOKYO_01,SKU_HT_001,48,1290,0,8.7,2.0,0
2025-01-31,TOKYO_01,SKU_HT_001,39,1290,0,8.8,0.0,0
2025-02-01,TOKYO_01,SKU_HT_001,71,1290,0,11.7,3.4,1
2025-02-02,TOKYO_01,SKU_HT_001,78,1290,0,9.6,1.4,1
2025-02-03,TOKYO_01,SKU_HT_001,30,1290,0,13.9,0.6,0
2025-02-04,TOKYO_01,SKU_HT_001,65,1290,0,9.5,0.0,0
2025-02-05,TOKYO_01,SKU_HT_001,25,1290,0,13.9,0.0,0
2025-02-06,TOKYO_01,SKU_HT_001,47,1290,0,11.3,0.0,0
2025-02-07,TOKYO_01,SKU_HT_001,58,1290,0,10.5,0.0,0
2025-02-08,TOKYO_01,SKU_HT_001,64,1290,0,11.2,1.1,1
2025-02-09,TOKYO_01,SKU_HT_001,77,1290,0,9.6,0.0,1
2025-02-10,TOKYO_01,SKU_HT_001,61,1290,0,11.7,0.4,0
2025-02-11,TOKYO_01,SKU_HT_001,53,1290,0,11.0,0.0,0
2025-02-12,TOKYO_01,SKU_HT_001,25,1290,0,12.7,0.9,0
2025-02-13,TOKYO_01,SKU_HT_001,29,1290,0,12.2,3.4,0
2025-02-14,TOKYO_01,SKU_HT_001,35,1290,0,14.0,0.0,0
2025-02-15,TOKYO_01,SKU_HT_001,44,1290,0,15.5,1.6,1
2025-02-16,TOKYO_01,SKU_HT_001,36,1290,0,17.4,0.0,1
2025-02-17,TOKYO_01,SKU_HT_001,22,1290,0,14.8,0.4,0
2025-02-18,TOKYO_01,SKU_HT_001,43,1290,0,11.8,0.3,0
